,text,retweet_count,favorite_count,retweeted,hour,minute,day,month,year,clean_text,length_text,positivity,negativity,neutral,compound,sentiment
52,"@Apple @tim_cook 

Apple declaring that a 2016 MacBook Pro is vintage/obsolete contributes to global warming",0,0,False,3,17,2,8,2022, _cook Apple declaring that a 2016 MacBook Pro is vintage/obsolete contributes to global warming,96,0.11,0.0,0.89,0.1531,positive
53,"RT @techbharatco: @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss, this very much explains what you were trying to say during your whole…",15,0,False,3,14,2,8,2022,"_cook  , this very much explains what you were trying to say during your whole…",79,0.0,0.0,1.0,0.0,neutral
54,"According to a news statement from the senator's office, he has addressed letters to Google and Apple CEOs Sundar P… https://t.co/IsEkIoOlAC",0,0,False,3,13,2,8,2022,"According to a news statement from the senator's office, he has addressed letters to Google and Apple CEOs Sundar P…  ",118,0.0,0.0,1.0,0.0,neutral
55,"RT @techbharatco: @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss, this very much explains what you were trying to say during your whole…",15,0,False,3,13,2,8,2022,"_cook  , this very much explains what you were trying to say during your whole…",79,0.0,0.0,1.0,0.0,neutral
56,"RT @net7654321: #BOYCOTTApple REMOVE 
UN TRUTHSocial fm AppStore
@POTUS
#MerrickGarland
☎️ UN TRUTHSocial
     Disinfo
@DOJCrimDiv
@FBI 800…",4,0,False,3,10,2,8,2022,BOYCOTTApple REMOVE UN TRUTHSocial fm AppStoreMerrickGarland UN TRUTHSocial     Disinfo 800…,92,0.0,0.0,1.0,0.0,neutral
57,"@tim_cook IBS? long before I knew about apple I products, this was mentioned by dubious people.",0,0,False,3,5,2,8,2022,"_cook IBS? long before I knew about apple I products, this was mentioned by dubious people.",91,0.0,0.143,0.857,-0.3612,negative
58,"RT @techbharatco: @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss, this very much explains what you were trying to say during your whole…",15,0,False,2,58,2,8,2022,"_cook  , this very much explains what you were trying to say during your whole…",79,0.0,0.0,1.0,0.0,neutral
59,"RT @RahulRjv123: @techbharatco @Apple @nothing @tim_cook @getpeid Meanwhile iPhone 12 users , yo new cool back cover , lemme just order i..…",1,0,False,2,57,2,8,2022,"_cook  Meanwhile iPhone 12 users , yo new cool back cover , lemme just order i..…",81,0.133,0.0,0.867,0.3182,positive
60,"RT @TheGalox_: ""The number of consumers who switched from Android-based smartphones to iPhones is at a record level""

- Tim Cook https://t.…",50,0,False,2,57,2,8,2022,"_: ""The number of consumers who switched from Android-based smartphones to iPhones is at a record level""- Tim Cook  .…",118,0.064,0.0,0.936,0.0772,positive
61,RT @stilgherrian: My attention has been drawn to this entirely accurate rendition of Indigenous Australians welcoming James Cook and Arthur…,4,0,False,2,57,2,8,2022,My attention has been drawn to this entirely accurate rendition of Indigenous Australians welcoming James Cook and Arthur…,122,0.146,0.0,0.854,0.4404,positive
62,@techbharatco @Apple @nothing @tim_cook @getpeid Damn!😅,0,0,False,2,57,2,8,2022,   _cook  Damn!,15,0.0,0.749,0.251,-0.4574,negative
63,"RT @techbharatco: Okay, I present to you Nothing iPhone (1).

@Apple + @nothing or @tim_cook + @getpeid = Nothing iPhone (1). 

#Nothingpho…",95,0,False,2,57,2,8,2022,"Okay, I present to you Nothing iPhone 1. +  or _cook +  = Nothing iPhone 1. Nothingpho…",87,0.106,0.0,0.894,0.2263,positive
64,@tim_cook &gt;Is it really true that Apple does not have a single available replacement for a defective battery for a… https://t.co/QupDuu4aw6,0,0,False,2,54,2,8,2022,_cook &gt;Is it really true that Apple does not have a single available replacement for a defective battery for a…  ,116,0.129,0.121,0.75,0.0498,neutral
65,"RT @JuddLegum: 9. In 2009, when Steve Jobs was CEO, Apple quit the @USChamber because the group was opposing climate action.

Now @tim_cook…",100,0,False,2,52,2,8,2022,"9. In 2009, when Steve Jobs was CEO, Apple quit the  because the group was opposing climate action.Now _cook…",109,0.0,0.0,1.0,0.0,neutral
66,"#BOYCOTTApple REMOVE 
UN TRUTHSocial fm AppStore
@POTUS
#MerrickGarland
☎️ UN TRUTHSocial
     Disinfo
@DOJCrimDiv… https://t.co/5Azu1tF8ug",4,4,False,2,51,2,8,2022,BOYCOTTApple REMOVE UN TRUTHSocial fm AppStoreMerrickGarland UN TRUTHSocial     Disinfo…  ,90,0.0,0.0,1.0,0.0,neutral
67,"RT @SpaceGeniusGame: If we could rewind time like Dr. Strange, would @tim_cook have played our iOS exclusive game #OctronsChallenge as a ki…",4,0,False,2,48,2,8,2022,"If we could rewind time like Dr. Strange, would _cook have played our iOS exclusive game OctronsChallenge as a ki…",114,0.264,0.074,0.661,0.5574,positive
68,"RT @SpaceGeniusGame: If we could rewind time like Dr. Strange, would @tim_cook have played our iOS exclusive game #OctronsChallenge as a ki…",4,0,False,2,48,2,8,2022,"If we could rewind time like Dr. Strange, would _cook have played our iOS exclusive game OctronsChallenge as a ki…",114,0.264,0.074,0.661,0.5574,positive
69,"RT @AlienShooterFun: If we could rewind time like Dr. Strange, would @tim_cook have played our iOS exclusive game #OctronsChallenge as a ki…",4,0,False,2,47,2,8,2022,"If we could rewind time like Dr. Strange, would _cook have played our iOS exclusive game OctronsChallenge as a ki…",114,0.264,0.074,0.661,0.5574,positive
70,"RT @AlienShooterFun: If we could rewind time like Dr. Strange, would @tim_cook have played our iOS exclusive game #OctronsChallenge as a ki…",4,0,False,2,47,2,8,2022,"If we could rewind time like Dr. Strange, would _cook have played our iOS exclusive game OctronsChallenge as a ki…",114,0.264,0.074,0.661,0.5574,positive
71,"RT @SirnaTony: Does @Apple support the big climate bill in Congress?

@tim_cook - speak up now for historic climate legislation. Congress n…",4,0,False,2,46,2,8,2022,Does  support the big climate bill in Congress?_cook - speak up now for historic climate legislation. Congress n…,113,0.137,0.0,0.863,0.4019,positive
72,"RT @techbharatco: Okay, I present to you Nothing iPhone (1).

@Apple + @nothing or @tim_cook + @getpeid = Nothing iPhone (1). 

#Nothingpho…",95,0,False,2,32,2,8,2022,"Okay, I present to you Nothing iPhone 1. +  or _cook +  = Nothing iPhone 1. Nothingpho…",87,0.106,0.0,0.894,0.2263,positive
73,"RT @techbharatco: @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss, this very much explains what you were trying to say during your whole…",15,0,False,2,31,2,8,2022,"_cook  , this very much explains what you were trying to say during your whole…",79,0.0,0.0,1.0,0.0,neutral
74,@techbharatco @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss Good morning 🌞🌞,0,0,False,2,29,2,8,2022,   _cook   Good morning ,24,0.592,0.0,0.408,0.4404,positive
75,"RT @techbharatco: @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss, this very much explains what you were trying to say during your whole…",15,0,False,2,29,2,8,2022,"_cook  , this very much explains what you were trying to say during your whole…",79,0.0,0.0,1.0,0.0,neutral
76,"RT @mysmartprice: Apple CEO Tim Cook, during the June earnings call has said that #Android users are switching to iPhones on a record numbe…",14,0,False,2,25,2,8,2022,"Apple CEO Tim Cook, during the June earnings call has said that Android users are switching to iPhones on a record numbe…",121,0.0,0.0,1.0,0.0,neutral
77,.@tim_cook will you be my sugar daddy?,0,1,False,2,24,2,8,2022,._cook will you be my sugar daddy?,34,0.0,0.0,1.0,0.0,neutral
78,Discussions I saw last year included musing over how great it would be to criminally prosecute Tim Cook under the C… https://t.co/oOHbp3kSSz,0,0,False,2,9,2,8,2022,Discussions I saw last year included musing over how great it would be to criminally prosecute Tim Cook under the C…  ,118,0.159,0.105,0.736,0.34,positive
79,@Apple @tim_cook my IPhone X has audio issue and Apple store can’t detect it. And they suspect it’s logical board i… https://t.co/BvVGKSRoVE,0,0,False,2,2,2,8,2022, _cook my IPhone X has audio issue and Apple store can’t detect it. And they suspect it’s logical board i…  ,108,0.0,0.104,0.896,-0.296,negative
80,"Going back to Eisenhower, our role is protect Taiwan from slaughter from ruthless Communists (notice how China is b… https://t.co/mtD1rGcpIY",0,0,False,1,59,2,8,2022,"Going back to Eisenhower, our role is protect Taiwan from slaughter from ruthless Communists notice how China is b…  ",117,0.126,0.0,0.874,0.3818,positive
81,@sameasdixtinary @natalie_allison Then there's Tim Cook. Known to Trump as Tim Apple..🤣,0,2,False,1,49,2,8,2022, _allison Then there's Tim Cook. Known to Trump as Tim Apple..,62,0.0,0.0,1.0,0.0,neutral
82,@tim_cook I demand you add the Confederate flag emoji to this keyboard now!,0,0,False,1,47,2,8,2022,_cook I demand you add the Confederate flag emoji to this keyboard now!,71,0.0,0.13,0.87,-0.2003,negative
83,ICYMI:  Key excerpt ~ Tim Cook “…declared recently that integrating Apple’s services with its hardware and software… https://t.co/2yeL3obUAh,0,0,False,1,47,2,8,2022,ICYMI:  Key excerpt ~ Tim Cook “…declared recently that integrating Apple’s services with its hardware and software…  ,118,0.0,0.0,1.0,0.0,neutral
84,"@JuddLegum @SenatorSinema @BizRoundtable @Apple @tim_cook Come on, @tim_cook, tell @BizRoundtable to take a fucking hike!",0,0,False,1,46,2,8,2022,"    _cook Come on, _cook, tell  to take a fucking hike!",55,0.0,0.0,1.0,0.0,neutral
85,Tim Cook is a genius. Apple is sitting on $180 Billion in cash and he decided to take out a loan to do stock buybacks 😂😮‍💨🔥,0,1,False,1,41,2,8,2022,Tim Cook is a genius. Apple is sitting on 180 Billion in cash and he decided to take out a loan to do stock buybacks ,117,0.0,0.0,1.0,0.0,neutral
86,@alvinSeven77 @Ukraine @ZelenskyyUa @NATO @JoeBiden @bongbongmarcos @elonmusk @tim_cook It's a deep fake set to a s… https://t.co/cFJPe9AFKQ,0,1,False,1,41,2,8,2022,       _cook It's a deep fake set to a s…  ,43,0.0,0.279,0.721,-0.4767,negative
87,@techbharatco @Apple @nothing @tim_cook @getpeid Awesome 🤩,0,0,False,1,40,2,8,2022,   _cook  Awesome ,18,0.804,0.0,0.196,0.6249,positive
88,"RT @techbharatco: Okay, I present to you Nothing iPhone (1).

@Apple + @nothing or @tim_cook + @getpeid = Nothing iPhone (1). 

#Nothingpho…",95,0,False,1,39,2,8,2022,"Okay, I present to you Nothing iPhone 1. +  or _cook +  = Nothing iPhone 1. Nothingpho…",87,0.106,0.0,0.894,0.2263,positive
89,"RT @a7med_m_5aled: Really !! 
How come ?!!
Done while charging 😡🤖
@tim_cook 
@Apple https://t.co/asbuHlCvF5",1,0,False,1,38,2,8,2022,_m_5aled: Really !! How come ?!!Done while charging _cook   ,60,0.0,0.0,1.0,0.0,neutral
90,"@tim_cook  Tim, 
Not truth, not social.
Insurrection tool. https://t.co/DjuRQNwrJ5",0,0,False,1,38,2,8,2022,"_cook  Tim, Not truth, not social.Insurrection tool.  ",54,0.0,0.246,0.754,-0.2411,negative
91,"Really !! 
How come ?!!
Done while charging 😡🤖
@tim_cook 
@Apple https://t.co/asbuHlCvF5",1,1,False,1,37,2,8,2022,Really !! How come ?!!Done while charging _cook   ,50,0.0,0.0,1.0,0.0,neutral
92,Idk why I’m still dealing with this. This company keeps continue to disappoint me with each day that happens and la… https://t.co/Bua0i38xJk,0,0,False,1,36,2,8,2022,Idk why I’m still dealing with this. This company keeps continue to disappoint me with each day that happens and la…  ,118,0.0,0.177,0.823,-0.4767,negative
93,"RT @techbharatco: @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss, this very much explains what you were trying to say during your whole…",15,0,False,1,34,2,8,2022,"_cook  , this very much explains what you were trying to say during your whole…",79,0.0,0.0,1.0,0.0,neutral
94,No promises call backs… idk how much longer I can do this @cue @Apple @AppleSupport @tim_cook @craigfederighi @gregjoz,0,0,False,1,34,2,8,2022,No promises call backs… idk how much longer I can do this    _cook  ,68,0.0,0.246,0.754,-0.3786,negative
95,"RT @Tejas69454416: @techbharatco @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss Good morning brother, first goodmorning from my side, e…",2,0,False,1,21,2,8,2022,"_cook   Good morning brother, first goodmorning from my side, e…",64,0.244,0.0,0.756,0.4404,positive
96,RT @MohanLa50293011: @techbharatco @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss Good morning sir 🌞🌞,1,0,False,1,20,2,8,2022,_cook   Good morning sir ,25,0.492,0.0,0.508,0.4404,positive
97,@techbharatco @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss Good morning sir 🌞🌞,1,1,False,1,20,2,8,2022,   _cook   Good morning sir ,28,0.492,0.0,0.508,0.4404,positive
98,@tim_cook Tim Cook is the best! I love you Mr Cook! You are an inspiration and the most impressive man I have ever seen! God bless! 🙂💙❌,0,0,False,1,20,2,8,2022,_cook Tim Cook is the best! I love you Mr Cook! You are an inspiration and the most impressive man I have ever seen! God bless! ,128,0.518,0.0,0.482,0.97,positive
99,@tim_cook I live in Robertsdale AL and I recently found out that you grew up here. You should make an apple statue lol.,0,0,False,1,20,2,8,2022,_cook I live in Robertsdale AL and I recently found out that you grew up here. You should make an apple statue lol.,115,0.113,0.0,0.887,0.4215,positive
100,RT @MohanLa50293011: @techbharatco @Apple @nothing @tim_cook @getpeid @Mrwhosetheboss 😄,1,0,False,1,18,2,8,2022,_cook   ,8,0.0,0.0,1.0,0.0,neutral
